environment,method,final_br_mean,final_br_sem,final_exploitability,final_field_norm
CyclicControl,QP+G,-0.09394929982644992,0.008064692901518077,0.16722489624784936,0.01400610833042697
CyclicControl,noG,-0.2995865943040372,0.05409499048750653,0.8019712159007503,0.3548988020015028
CyclicControl,GDA,-0.34398593244677095,0.051530981902877686,0.86678752594079,0.32805133957300137
CyclicControl,Adam-GDA,-9.917495158123291,0.04838366313413907,19.301512530322775,1.0274558431528837
CyclicControl,EGM,-0.2649707925761931,0.0379043610923012,0.665676009161184,0.24861573352192864
CyclicControl,PPM-3,-0.26418069840797986,0.0374207449874854,0.666450224813819,0.24901575087997668
FrequencyHopping,QP+G,-0.09527547347350943,0.01250606874771065,2.150153560495876,0.2366736371227994
FrequencyHopping,noG,-0.4157333965516606,0.07521632901153011,2.436753992200594,0.4007099825297894
FrequencyHopping,GDA,-0.4743481535128165,0.06129965817331542,2.5141209484067155,0.47577648973066433
FrequencyHopping,Adam-GDA,-10.642895784749,0.24044292338298015,17.598230492105028,1.6129375320436459
FrequencyHopping,EGM,-0.43141280941854265,0.04593587448306452,2.4564614511491203,0.42820546499660794
FrequencyHopping,PPM-3,-0.4325747732718169,0.04566983288816884,2.4580269196174926,0.42863495812849417
RoutingInterdiction,QP+G,-1.073367716914652,0.00850059366956858,1.7963555478393605,0.19427288726576936
RoutingInterdiction,noG,-1.1917258218228053,0.03562883817241189,1.9347194034100859,0.29416718619361143
RoutingInterdiction,GDA,-1.3285375088587092,0.04230242356011696,2.0285159914391784,0.33438762331702776
RoutingInterdiction,Adam-GDA,-8.20117301348922,0.2859600912690926,12.257532326982991,1.8364972218663524
RoutingInterdiction,EGM,-1.3098928898364008,0.03859777653138847,2.0110817424073812,0.3183035930782839
RoutingInterdiction,PPM-3,-1.3099389153518135,0.0386063934637096,2.011108918476003,0.31844942754569505
PursuitEvasion,QP+G,-0.28436021499698677,0.04484575298155568,0.6595050135006445,0.050539651704545066
PursuitEvasion,noG,-0.31529217554459577,0.056940706656652386,0.7449362112651017,0.06127611950610847
PursuitEvasion,GDA,-0.3057218026699663,0.056332221496903555,0.7463915665951453,0.06079477692738119
PursuitEvasion,Adam-GDA,-8.846373986710692,0.24549700972644145,17.429526937547354,3.8733361227640266
PursuitEvasion,EGM,-0.3047279936463953,0.05594485772461822,0.7432627292012209,0.060424195692557046
PursuitEvasion,PPM-3,-0.3047592068343226,0.05595211009962293,0.7433105156741868,0.06042763766988457
SecurityPatrol,QP+G,-0.3289059091809926,0.006739370088996494,1.1427102585344278,0.12469517137857558
SecurityPatrol,noG,-0.47169244581199327,0.04227980573357307,1.357367034772362,0.27257933871370044
SecurityPatrol,GDA,-0.5370733704520616,0.04537402031057471,1.386331138152165,0.268326886323454
SecurityPatrol,Adam-GDA,-5.149352728382676,0.045170473682809624,12.450023008126553,1.3458591918305416
SecurityPatrol,EGM,-0.5007853585139943,0.03913511591543844,1.3437895235302582,0.2396699137408317
SecurityPatrol,PPM-3,-0.5010734404038436,0.03915005388528276,1.3442713023734032,0.2398940226545725
