environment,mode,seed,method,step,current_return,hard_br_return,hard_exploitability,regularized_gap,field_norm,hard_br_residual,hard_br_iterations,soft_br_residual,soft_br_iterations
CyclicControl,neural,40,QP+G,0,-0.04088501394024287,-0.6785245803877038,1.0524587160640213,0.5913720828524114,0.4422803856547468,8.737455203799982e-13,238,8.539108309335575e-11,189
CyclicControl,neural,40,QP+G,5,-0.007162361445014174,-0.20921986530853443,0.4349217895404929,0.13866178808911783,0.18652218966200848,8.333334022836425e-13,228,8.726801226099923e-11,175
CyclicControl,neural,40,QP+G,10,-0.0009677315605784757,-0.06645757911655448,0.20168054655818593,0.042670460143148764,0.08191653806198212,8.455736111301349e-13,223,8.427424730284017e-11,166
CyclicControl,neural,40,QP+G,15,-0.0002073037237666281,-0.07312476182416108,0.1598605985794641,0.02226960647836193,0.037887649090654875,8.266443085602759e-13,219,8.879824479890441e-11,158
CyclicControl,neural,40,QP+G,20,-0.0001546867634420867,-0.07391678081973453,0.15469254072881283,0.017795991532529032,0.020470823904565574,8.553990848980675e-13,218,8.605957266261122e-11,155
CyclicControl,neural,40,QP+G,25,-0.00013977191567300944,-0.07427710353518305,0.1560501362180345,0.01677278762377306,0.014759019239936187,8.659878369954299e-13,218,8.666612046070998e-11,154
CyclicControl,neural,40,QP+G,30,-0.00013501427329708134,-0.07448806267344395,0.15658080377392647,0.016502202375694917,0.013324782281847351,8.693740172205366e-13,218,8.442866891722467e-11,154
CyclicControl,neural,40,QP+G,35,-0.00013348247716186344,-0.07457193723106352,0.15671356039772077,0.016401291772835884,0.013007262621788465,8.699013731572336e-13,218,8.369385913475913e-11,154
CyclicControl,neural,40,QP+G,40,-0.0001327922740111009,-0.07457209911682924,0.15666166687321126,0.016342192574048182,0.01292861535752203,8.693601394327288e-13,218,8.333420759010224e-11,154
CyclicControl,neural,40,QP+G,45,-0.00013229856940115376,-0.07452280216537725,0.15652507744738575,0.01629488681649198,0.012897988581144172,8.684303276496053e-13,218,8.308567202297557e-11,154
CyclicControl,neural,40,QP+G,50,-0.00013184729783391501,-0.07444606659879424,0.15634973758934373,0.016251448518279477,0.012876825818729185,8.673894935640192e-13,218,8.287633773695902e-11,154
CyclicControl,neural,40,QP+G,55,-0.00013140512197593458,-0.074354758660662,0.15615669154841688,0.016209467328932897,0.01285750496029942,8.663070261150096e-13,218,8.268270096367658e-11,154
CyclicControl,neural,40,QP+G,60,-0.00013096561515951564,-0.07425598161556517,0.1559556089581508,0.01616811524408328,0.012838547745696647,8.652245586660001e-13,218,8.249591114395383e-11,154
CyclicControl,neural,41,QP+G,0,-0.02947827835436645,-0.4144462975348892,1.1463252885644828,0.5854211970591852,0.396096270091797,8.482103908136196e-13,239,8.626166447811556e-11,190
CyclicControl,neural,41,QP+G,5,-0.0031495013812560596,-0.1198862959095803,0.4557185499441969,0.1340768135789283,0.16329734378340147,8.13626943596546e-13,232,8.287344421820109e-11,178
CyclicControl,neural,41,QP+G,10,-0.0009812525891692468,-0.09954527579774931,0.2595596828609847,0.04593633476205436,0.0692941349046616,8.104350524007486e-13,225,8.868970141628907e-11,165
CyclicControl,neural,41,QP+G,15,-0.000794571281647955,-0.09710087121614802,0.2024678525985484,0.029784906744921832,0.03227930580746889,8.1347428793066e-13,221,8.195948260347752e-11,159
CyclicControl,neural,41,QP+G,20,-0.0007414158676477783,-0.09582113257411691,0.18618322807984983,0.026619187129677528,0.01913551575138483,8.218425939787721e-13,220,8.408701686335451e-11,158
CyclicControl,neural,41,QP+G,25,-0.0007255410168608836,-0.09575568377047389,0.18357485416115765,0.02590682018617363,0.015546621341208303,8.212874824664596e-13,220,8.392695219350266e-11,158
CyclicControl,neural,41,QP+G,30,-0.0007204480610399769,-0.09568410156795876,0.18233350748634058,0.02569769170147422,0.01477226729724075,8.206629820151079e-13,220,8.382982676080619e-11,158
CyclicControl,neural,41,QP+G,35,-0.0007180324274641597,-0.09559954218503053,0.1816797157850101,0.02560327110158976,0.01460999710030822,8.199413370491015e-13,220,8.372946953827398e-11,158
CyclicControl,neural,41,QP+G,40,-0.0007162283624366947,-0.09550978346014857,0.18128209857173094,0.02553854045783796,0.014566202822159119,8.191641809318639e-13,220,8.361369582821077e-11,158
CyclicControl,neural,41,QP+G,45,-0.0007145574012284888,-0.09542063737897839,0.1809981269579236,0.025482593726860424,0.014544774169842803,8.184009026024341e-13,220,8.348643477928963e-11,158
CyclicControl,neural,41,QP+G,50,-0.0007129156877861396,-0.09533426731879494,0.1807654694957341,0.025429588870925876,0.014527552483736555,8.1766537984862e-13,220,8.33528836230446e-11,158
CyclicControl,neural,41,QP+G,55,-0.0007112820035920067,-0.09525076029457125,0.180556378524622,0.025377693609408888,0.014511128460408832,8.169576126704214e-13,220,8.321640251884865e-11,158
CyclicControl,neural,41,QP+G,60,-0.0007096523963209551,-0.09516946932605963,0.18035829583246094,0.025326280835788827,0.014494866953948622,8.162498454922229e-13,220,8.307874700685947e-11,158
CyclicControl,neural,42,QP+G,0,-0.00307818542376061,-0.3867418447102892,0.4933760159924804,0.18997726127615824,0.2241180495252982,8.431033649003439e-13,233,8.303352450056423e-11,182
CyclicControl,neural,42,QP+G,5,-0.0005103434925623027,-0.21208494894467916,0.27404604022906226,0.05970127255550304,0.09617101233761625,8.699707620962727e-13,227,8.198744461118679e-11,171
CyclicControl,neural,42,QP+G,10,-0.00014438323164054243,-0.15238121443880875,0.21250239101107357,0.03037984007413795,0.044018843690808176,8.575640197960865e-13,224,8.178726793039992e-11,164
CyclicControl,neural,42,QP+G,15,1.4217966487242546e-05,-0.12852257784753016,0.18305369299869956,0.023479252124171186,0.02425967592886761,8.929246231303978e-13,222,8.538681220415789e-11,161
CyclicControl,neural,42,QP+G,20,3.923550622767057e-05,-0.11877066428561642,0.16719413770394354,0.021674433384485416,0.01821524110972422,8.251732630526476e-13,222,8.838652726383955e-11,160
CyclicControl,neural,42,QP+G,25,1.9228174282256842e-05,-0.11494993579927673,0.1594112972722611,0.021090443763277972,0.01676359403374051,8.873596302194642e-13,221,8.643346802172935e-11,160
CyclicControl,neural,42,QP+G,30,-9.715891617616443e-06,-0.11336493303634267,0.15750828650927495,0.020816594905424996,0.016421846120987415,8.751194213729718e-13,221,8.53991669047538e-11,160
