environment,mode,seed,step,rotation,cos_fg,d,beta,gamma,gamma_active,g_contribution,predicted_decrease,realized_decrease,inflation,backtracks,max_soft_residual
CyclicControl,neural,40,1,9.465455994905096,0.06789883513970493,11.155821088945693,0.03,0.03,1.0,0.6952023631757914,0.34233917794730867,0.34096208328006883,0.0,0,8.969958109616982e-11
CyclicControl,neural,40,2,10.426669773801269,0.07023835108749772,8.270011443752145,0.03,0.03,1.0,0.6938954701580226,0.2540979493894011,0.253043096926012,0.0,0,8.973749521246077e-11
CyclicControl,neural,40,3,11.251477232755235,0.07137256165374205,6.079220445646341,0.03,0.03,1.0,0.6928556420728962,0.18628627291447478,0.18559475426042282,0.0,0,8.987471877830444e-11
CyclicControl,neural,40,4,11.953147480328028,0.07159070791048568,4.442205659796884,0.03,0.03,1.0,0.6920381124514526,0.13533596788769509,0.13493342062480063,0.0,0,8.998735090415266e-11
CyclicControl,neural,40,5,12.56210302586216,0.07113157178224112,3.237830746318676,0.03,0.03,1.0,0.6913950011897924,0.09785423417148208,0.09763550359796619,0.0,0,8.77449640723782e-11
CyclicControl,neural,40,6,13.110664518183185,0.0701843927770778,2.361088049061644,0.03,0.03,1.0,0.6908763956878714,0.07068603819579941,0.07056848036750893,0.0,0,8.996625666668479e-11
CyclicControl,neural,40,7,13.624895534417075,0.06889506892451007,1.7256488359807545,0.03,0.03,1.0,0.6904305006206237,0.051142109180362064,0.05107608869712005,0.0,0,8.98211921507297e-11
CyclicControl,neural,40,8,14.122354154812324,0.06737399347390138,1.2648142787669476,0.03,0.03,1.0,0.6900029523334966,0.03710688876388988,0.03706690695464332,0.0,0,8.98211921507297e-11
CyclicControl,neural,40,9,14.612820264363323,0.06570346274422337,0.9294237826659176,0.03,0.03,1.0,0.6895352073002603,0.02700687388374679,0.02698087475746927,0.0,0,8.982859595052517e-11
CyclicControl,neural,40,10,15.09994172405195,0.06394367418798146,0.6842296624456526,0.03,0.03,1.0,0.688961854794499,0.019710169704323672,0.019692505402521723,0.0,0,8.987066646426456e-11
CyclicControl,neural,40,11,15.582860228806773,0.062137023327558154,0.5042347154345581,0.0284692013074571,0.03,1.0,0.6993329042557259,0.014416250917749727,0.014403767745708423,0.0,0,8.947848018081572e-11
CyclicControl,neural,40,12,16.06429248849012,0.06028813247877628,0.3718065010086179,0.02422515445111497,0.03,1.0,0.7312129977995019,0.010567931178701457,0.01055896200881909,0.0,0,8.98682586680799e-11
CyclicControl,neural,40,13,16.539130918540895,0.0584148885464624,0.2741877172995492,0.020680801191496005,0.03,1.0,0.7599592246759136,0.007758139176562624,0.0077521003840896816,0.0,0,8.966898404350054e-11
CyclicControl,neural,40,14,16.985105740147763,0.0565686474432086,0.2020497617285014,0.017388569657390694,0.03,1.0,0.7886671527660767,0.005696525973169613,0.005692657147965373,0.0,0,8.99781915641995e-11
CyclicControl,neural,40,15,17.38966353163979,0.05474679950214076,0.14877164634268628,0.013920563094240024,0.03,1.0,0.8215918091828506,0.004182193098075264,0.0041797643127851475,0.0,0,8.879824479890441e-11
CyclicControl,neural,40,16,17.746178066937933,0.05291788012706092,0.10949644248504087,0.009824795710038824,0.03,1.0,0.8652017613741294,0.0030708778211163794,0.003069343092597439,0.0,0,8.905294383854123e-11
