environment,method,seed_count,hard_br_return_mean,hard_br_return_sem,hard_exploitability_mean,hard_exploitability_sem,regularized_gap_mean,regularized_gap_sem,field_norm_mean,field_norm_sem
CyclicControl,QP+G,10,-0.09394929982644992,0.008064692901518077,0.16722489624784936,0.01181214677342755,0.02101488481521167,0.0029389815880092934,0.01400610833042697,0.001108600448501364
CyclicControl,noG,10,-0.2995865943040372,0.05409499048750653,0.8019712159007503,0.0751731782919616,0.41319934113951307,0.057394996237303944,0.3548988020015028,0.030915921702856473
CyclicControl,GDA,10,-0.34398593244677095,0.05153098190287767,0.86678752594079,0.08388122011470277,0.41844072957360884,0.0657203423183297,0.32805133957300137,0.028709878036542315
CyclicControl,Adam-GDA,10,-0.5384394446496665,0.04913639774450504,1.1651569441242031,0.07920271985166508,0.6588409720140451,0.060919774544448455,0.4802768209592692,0.029319722845413038
CyclicControl,EGM,10,-0.264970792576193,0.037904361092301206,0.6656760091611839,0.0640690140799097,0.26941463365578583,0.04346429969173567,0.24861573352192864,0.022026411125844955
CyclicControl,PPM-3,10,-0.2641806984079799,0.03742074498748541,0.6664502248138189,0.06406037431794369,0.2699629044099377,0.04362481042831534,0.24901575087997668,0.0220458766508865
FrequencyHopping,QP+G,10,-0.09527547347350943,0.01250606874771065,2.150153560495876,0.01982615620100187,1.7420903575292754,0.017121178816632013,0.2366736371227994,0.006139241450372023
FrequencyHopping,noG,10,-0.4157333965516606,0.07521632901153011,2.436753992200594,0.08665365136965608,1.9152571677287802,0.06515949179674493,0.4007099825297894,0.02360042865370696
FrequencyHopping,GDA,10,-0.4743481535128165,0.06129965817331542,2.514120948406716,0.07195175487224001,1.9544930696478553,0.06350399608759968,0.47577648973066433,0.02392320291606935
FrequencyHopping,Adam-GDA,10,-0.5104850678071763,0.06809429180582781,2.5600974566851944,0.07977775834102518,2.0009241822175277,0.07254699424590234,0.5660488526172258,0.02929462747322953
FrequencyHopping,EGM,10,-0.43141280941854265,0.04593587448306452,2.4564614511491207,0.05522705888387462,1.9016174248048903,0.04725374180487222,0.42820546499660794,0.018254760751674766
FrequencyHopping,PPM-3,10,-0.4325747732718169,0.045669832888168845,2.4580269196174926,0.05507588706832531,1.9026724765454346,0.04713468029982474,0.42863495812849417,0.018300445054484183
RoutingInterdiction,QP+G,10,-1.073367716914652,0.00850059366956858,1.7963555478393605,0.010560084943140379,1.3905751194034814,0.006471839460081871,0.19427288726576936,0.006291752494749072
RoutingInterdiction,noG,10,-1.1917258218228053,0.03562883817241189,1.9347194034100859,0.045638448531497365,1.4676193309115575,0.032981698995385944,0.29416718619361143,0.017403622179955565
RoutingInterdiction,GDA,10,-1.3285375088587092,0.04230242356011695,2.0285159914391784,0.041655989469180865,1.49056090734036,0.03316170900766811,0.33438762331702776,0.018861243887471638
RoutingInterdiction,Adam-GDA,10,-1.2987795041351526,0.03578209135425915,1.912067100899004,0.03473011024275186,1.3993443135728132,0.029228233948555463,0.40098229801373036,0.01845171516188664
RoutingInterdiction,EGM,10,-1.3098928898364008,0.038597776531388454,2.011081742407381,0.03763287534872069,1.4747884250644974,0.028945208761778324,0.3183035930782839,0.01760715743507097
RoutingInterdiction,PPM-3,10,-1.3099389153518133,0.038606393463709546,2.011108918476003,0.037725898452050155,1.474915546184213,0.029043205287432258,0.31844942754569505,0.017611876631848995
SecurityPatrol,QP+G,10,-0.3289059091809926,0.006739370088996494,1.1427102585344278,0.011629921559047017,0.7758123496962208,0.00859974408682398,0.12469517137857558,0.002755008023000564
SecurityPatrol,noG,10,-0.47169244581199327,0.04227980573357307,1.357367034772362,0.03516896769403941,0.9120351995015474,0.025056180801111955,0.27257933871370044,0.021973091842143248
SecurityPatrol,GDA,10,-0.5370733704520615,0.04537402031057469,1.386331138152165,0.05302426184086012,0.9067083218422164,0.031060816637004995,0.268326886323454,0.019081802115392132
SecurityPatrol,Adam-GDA,10,-0.54961098285354,0.0360856905983177,1.4666144508772785,0.05266668524413244,0.9822901411267342,0.040258365493261165,0.39405639971065665,0.023336701213981487
SecurityPatrol,EGM,10,-0.5007853585139943,0.039135115915438445,1.3437895235302582,0.04669486654306737,0.8749755794797938,0.025792369250759475,0.2396699137408317,0.015907189519331382
SecurityPatrol,PPM-3,10,-0.5010734404038436,0.03915005388528275,1.344271302373403,0.04676942723371856,0.8751968771661833,0.025828903922954352,0.2398940226545725,0.015938408364530747
