environment,mode,seed,method,step,current_return,hard_br_return,hard_exploitability,regularized_gap,field_norm,hard_br_residual,hard_br_iterations,soft_br_residual,soft_br_iterations
RPS,tabular,200,QP+G,0,-0.006340925457473496,-0.6634569460159686,0.7623292926143512,0.37520699151466086,0.28469096441109143,8.540945728441329e-13,238,8.903466852672182e-11,188
RPS,tabular,200,QP+G,5,-0.004670387372128714,-0.3364670645474132,0.46420637658918207,0.12690673231787244,0.15939283011037864,8.150702335285587e-13,232,8.27347773624254e-11,177
RPS,tabular,200,QP+G,10,-0.0018375902324932081,-0.15483873001535273,0.27207103214492695,0.038685763351161265,0.0878855427807878,8.713585408770541e-13,224,8.83456814648742e-11,162
RPS,tabular,200,QP+G,15,-0.0005358781820698168,-0.06407156427387414,0.14814653351645374,0.011678443355210802,0.04823098296515777,8.90287843446913e-13,218,8.354588635489657e-11,152
RPS,tabular,200,QP+G,20,-0.00012685706593918596,-0.023779145290959855,0.07687451631664896,0.0035279066525104046,0.026466121326674686,8.569464582386388e-13,214,8.211481191192083e-11,143
RPS,tabular,200,QP+G,25,-2.0431024078116608e-05,-0.005907118982730569,0.03770819814839514,0.0010642071323695842,0.014533226710244186,8.692144226607468e-13,209,8.124206645962473e-11,133
RPS,tabular,200,QP+G,30,1.1218185915092256e-06,-0.003514135042211161,0.0216367942788337,0.00032066202833268216,0.007985570466043873,8.388671701720085e-13,204,8.111163075832234e-11,122
RPS,tabular,200,QP+G,35,2.6034132040608923e-06,-0.0027603850020701095,0.012463050910952934,9.663121677092038e-05,0.0043900933296939565,8.451000316211932e-13,198,8.844167398761558e-11,109
RPS,tabular,200,QP+G,40,1.2675458119903041e-06,-0.0018748363363222463,0.006708095497330394,2.9160171275965936e-05,0.002414319965919892,8.801553236237325e-13,191,8.361956460440603e-11,96
RPS,tabular,200,QP+G,45,4.2708728052398244e-07,-0.0012037448647877374,0.003406728159110634,8.814232883291863e-06,0.001328053587174036,8.387509436991181e-13,184,8.240739424177854e-11,82
RPS,tabular,200,QP+G,50,1.0816882158550176e-07,-0.000885963065087792,0.0017655705799164629,2.6673871347110416e-06,0.0007306371056455762,8.70672349322088e-13,175,8.30546631471225e-11,74
RPS,tabular,200,QP+G,55,1.7678237669311436e-08,-0.0005776480998950052,0.0008461504672748706,8.076609739338088e-07,0.00040200363997196773,8.652318228205558e-13,171,8.741556145609613e-11,64
RPS,tabular,200,QP+G,60,-6.10820492052781e-10,-0.00034600096935022754,0.0004187027818547618,2.4458927938564253e-07,0.00022119932116277397,8.776753195743892e-13,166,8.892506730972553e-11,53
RPS,tabular,200,QP+G,65,-1.940262658181526e-09,-0.00019313466193273323,0.0002888652776149582,7.406895076444986e-08,0.00012171708798532069,8.296678502637406e-13,161,8.811315677092929e-11,41
RPS,tabular,200,QP+G,70,-9.646536871301393e-10,-0.00010067898277040816,0.00018051177344581147,2.242910031313715e-08,6.697703573332002e-05,8.138189829063475e-13,155,8.417201602383961e-11,28
RPS,tabular,200,QP+G,75,-3.2942576417209015e-10,-4.8610203282454763e-05,0.00010454948189199817,6.7916097051812205e-09,3.685554487154496e-05,8.50845747481753e-13,149,8.931405615086874e-11,13
